id,title,price,discount,image,link,category,subcategory
1,Love Beauty & Planet Jojoba Oil,337,25%,https://m.media-amazon.com/images/I/41Vclm+UFXL._SX679_.jpg,https://amzn.to/44b5dMW,Beauty & Skin Care,Skin & Hair
2,Pilgrim Korean Argan Oil Hair Mask For Dry & Frizzy Hair With White Lotus And Camellia,487,25%,https://m.media-amazon.com/images/I/61mCMw6lahL._SX679_.jpg,https://amzn.to/44ayM19,Beauty & Skin Care,Skin & Hair
3,Minimalist Hair Mask For Frizzy Hair,664,5%,https://m.media-amazon.com/images/I/51ms6dUFYhL._SX679_.jpg,https://amzn.to/45KWrGB,Beauty & Skin Care,Skin & Hair
4,GS GREENSILKY Smooth Professional Straight And Ultra Smooth Hair Masque,1029,31%,https://m.media-amazon.com/images/I/410PLNUKE3L._SX679_.jpg,https://amzn.to/3TNKTuK,Beauty & Skin Care,Skin & Hair
5,GREENSILKY Opti Care Smooth Professional Straight Hair Ultra Smoothing Masque,595,15%,https://m.media-amazon.com/images/I/51Q5vMu8qPL._SX679_.jpg,https://amzn.to/4kf70Fm,Beauty & Skin Care,Skin & Hair
6,Vaseline Intensive Care Cocoa Glow Body Lotion 200 ml,195,13%,https://m.media-amazon.com/images/I/51w8Y8tiUxL._SX679_.jpg,https://amzn.to/4njv9xc,Beauty & Skin Care,Bath & Body
7,Homeaura Double Chin Reducer for Women,291,78%,https://m.media-amazon.com/images/I/61bMf6BIhlL._SX679_.jpg,https://amzn.to/46jl6lF,Sports & Fitness,Gym Equipment
8,Be Bodywise 4% Aha Bha Underarm Roll On 50ml,349,0%,https://m.media-amazon.com/images/I/71waYmGy3EL._SL1500_.jpg,https://amzn.to/44qlNXL,Beauty & Skin Care,Bath & Body
9,Samsung 108 cm (43 inches) 4K Ultra HD Smart LED TV  (Black),29990,33%,https://m.media-amazon.com/images/I/71C2EYz7QQL._SX679_.jpg,https://amzn.to/3TkuYnD,Electronics,Television
10,Samsung Galaxy S24 Ultra 5G AI Smartphone with Galaxy AI ,92990,31%,https://m.media-amazon.com/images/I/71BDxEZiocL._SL1500_.jpg,https://amzn.to/3I7syX8,Mobiles,Smartphones
11,Nothing Phone (2a) Plus,21000,30%,https://m.media-amazon.com/images/I/81lRPeeHZgL._SY879_.jpg,https://amzn.to/3Gf6md7,Mobiles,Smartphones